id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria
502609,paola morales,m,2026-02-27,desconocido,antigua,retail
500588,ana diaz,f,2026-02-24,371.80,villa nueva,services
502408,maria paz,m,2026-01-15,"373,33",quetzaltenango,retail
501688,ana mejia,f,2026-01-18,361.23,quetzaltenango,education
502916,carlos  mendez,f,29/01/2026,"339,01",amatitlan,retail
504200,oscar rojas,m,2026-01-09,138.22,antigua,retail
502029,isabel ramirez,m,2026-02-05,"166,31",villa nueva,services
501366,pedro  herrera,m,12/02/2026,"405,62",amatitlan,education
502614,patricia soto,f,2026-01-11,222.88,guatemala,retail
502794,pablo perez,m,2026-02-06,"287,37",escuintla,retail
504410,paola herrera,f,2026-01-05,"400,01",antigua,education
500921,monica lopez,f,2026-02-16,"69,85",quetzaltenango,food
500344,ana soto,f,2026-01-02,desconocido,guatemala,education
503170,laura mendez,m,08/01/2026,desconocido,guatemala,education
502929,daniel  morales,m,2026-01-12,237.93,antigua,food
503768,karla vargas,m,2026-01-16,364.37,escuintla,food
501480,carmen gomez,m,2026-01-08,"491,09",quetzaltenango,services
503393,daniel flores,m,2026-02-06,"189,82",escuintla,education
501479,paola  fuentes,m,2026-01-03,"126,41",antigua,retail
503665,carmen soto,m,2026-01-06,desconocido,antigua,food
504232,elena perez,f,28/01/2026,"204,59",villa nueva,services
502530,carlos fuentes,m,2026-01-28,"318,53",escuintla,food
500837,oscar fuentes,f,2026-02-05,315.81,villa nueva,food
504238,maria morales,f,2026-01-04,"251,82",guatemala,services
500464,elena vargas,m,2026-01-27,487.93,amatitlan,services
504241,karla rojas,f,2026-01-25,376.15,antigua,retail
501040,gustavo nunez,f,2026-02-25,desconocido,escuintla,retail
501552,pedro  mejia,f,2026-02-24,"23,85",chimaltenango,retail
501126,sofia mendez,m,2026-02-27,323.34,mixco,services
504376,carmen solis,f,29/01/2026,69.32,chimaltenango,food
501851,elena soto,f,2026-02-09,214.50,mixco,services
504281,carmen fuentes,f,2026-01-10,"245,81",mixco,food
501098,karla rojas,m,07/01/2026,326.83,chimaltenango,services
504347,patricia morales,f,01/02/2026,"283,68",quetzaltenango,services
504260,fernando ramirez,m,2026-01-20,6.67,amatitlan,education
501419,elena vargas,f,12/02/2026,"179,13",villa nueva,food
503884,laura cruz,m,2026-02-08,desconocido,villa nueva,services
502586,karla perez,m,2026-01-15,desconocido,amatitlan,retail
503375,carlos castillo,m,2026-01-14,"153,61",amatitlan,food
501054,gabriela paz,f,27/01/2026,98.61,guatemala,services
503880,laura fuentes,f,2026-01-01,363.38,villa nueva,education
502476,oscar morales,f,2026-01-21,desconocido,amatitlan,food
500015,andrea ortega,m,2026-02-02,224.61,guatemala,services
503627,karla lopez,m,2026-01-19,212.04,,education
501372,andrea dominguez,m,2026-01-20,206.01,escuintla,services
503319,pablo herrera,m,2026-01-16,67.35,mixco,retail
503195,kevin rojas,f,2026-02-14,"28,25",quetzaltenango,retail
502898,sofia cruz,m,2026-02-19,"274,08",desconocido,food
504162,karla lima,f,2026-01-27,"444,86",amatitlan,services
